X1,X2,X3,X4,X5,X6,X7,Y
287,96,202.99,575,1150,0,7,28.7
287,96,202.99,575,1150,0,14,36.1
287,96,202.99,575,1150,0,28,38.8
287,96,202.99,575,1150,0,90,43
268,115,202.99,575,1150,0,7,27.4
268,115,202.99,575,1150,0,14,33.5
268,115,202.99,575,1150,0,28,37.6
268,115,202.99,575,1150,0,90,38.7
249,134,202.99,575,1150,0,7,25.7
249,134,202.99,575,1150,0,14,31.1
249,134,202.99,575,1150,0,28,35.1
249,134,202.99,575,1150,0,90,37.2
500,0,190,745,945,0.11,1,31.4
500,0,190,745,945,0.11,3,44.2
500,0,190,745,945,0.11,7,53.6
500,0,190,745,945,0.11,28,61
475,25,190,745,945,0.16,1,29.5
475,25,190,745,945,0.16,3,46.1
475,25,190,745,945,0.16,7,52.2
475,25,190,745,945,0.16,28,62
450,50,190,745,945,0.22,1,27.3
450,50,190,745,945,0.22,3,43.8
450,50,190,745,945,0.22,7,50.8
450,50,190,745,945,0.22,28,64.2
425,75,190,745,945,0.28,1,31.7
425,75,190,745,945,0.28,3,44.1
425,75,190,745,945,0.28,7,50.5
425,75,190,745,945,0.28,28,61.5
400,100,190,745,945,0.57,1,31.2
400,100,190,745,945,0.57,3,43.3
400,100,190,745,945,0.57,7,52.8
400,100,190,745,945,0.57,28,60.4
380,0,190,815,995,0,1,19
380,0,190,815,995,0,3,25.2
380,0,190,815,995,0,7,32
380,0,190,815,995,0,28,40.9
380,0,137,868,995,0.3,1,30.4
380,0,137,868,995,0.3,3,41.3
380,0,137,868,995,0.3,7,49.9
380,0,137,868,995,0.3,28,61.5
361,19,137,868,995,0.55,1,24.8
361,19,137,868,995,0.55,3,40.1
361,19,137,868,995,0.55,7,51.5
361,19,137,868,995,0.55,28,60.6
342,38,137,868,995,0.6,1,29.7
342,38,137,868,995,0.6,3,45.1
342,38,137,868,995,0.6,7,52.9
342,38,137,868,995,0.6,28,66.7
323,57,137,868,995,0.9,1,23.7
323,57,137,868,995,0.9,3,40
323,57,137,868,995,0.9,7,50.9
323,57,137,868,995,0.9,28,62.9
304,76,137,868,995,1.15,1,23.8
304,76,137,868,995,1.15,3,39.8
304,76,137,868,995,1.15,7,48
304,76,137,868,995,1.15,28,62.5
380,19,144,863,974,0.54,1,30.1
380,19,144,863,974,0.54,3,41.5
380,19,144,863,974,0.54,7,50.2
380,19,144,863,974,0.54,28,61
380,38,150,852,960,0.64,1,31.2
380,38,150,852,960,0.64,3,47.2
380,38,150,852,960,0.64,7,59.8
380,38,150,852,960,0.64,28,68.6
380,57,157,839,947,0.88,1,29.7
380,57,157,839,947,0.88,3,41
380,57,157,839,947,0.88,7,50.8
380,57,157,839,947,0.88,28,61.1
380,76,164,827,933,1.02,1,28.5
380,76,164,827,933,1.02,3,39.8
380,76,164,827,933,1.02,7,49.5
380,76,164,827,933,1.02,28,60.5
391,0,207,750,994,0.63,90,44.1
391,0,207,750,994,0.63,180,45.7
313,78,207,750,994,1.83,90,45.2
313,78,207,750,994,1.83,180,46.9
313,78,207,750,994,1.9,90,46.1
313,78,207,750,994,1.9,180,48.1
313,78,207,750,994,2,90,47.3
313,78,207,750,994,2,180,49.8
391,0,207,750,994,0.63,1,19.1
391,0,207,750,994,0.63,3,26.7
391,0,207,750,994,0.63,7,30.2
391,0,207,750,994,0.63,28,39.6
371,20,207,750,994,1.12,1,17.9
371,20,207,750,994,1.12,3,25.3
371,20,207,750,994,1.12,7,30
371,20,207,750,994,1.12,28,40.2
352,39,207,750,994,1.35,1,19.4
352,39,207,750,994,1.35,3,28.1
352,39,207,750,994,1.35,7,34.3
352,39,207,750,994,1.35,28,48.4
332,59,207,750,994,1.6,1,18.2
332,59,207,750,994,1.6,3,25.1
332,59,207,750,994,1.6,7,31.3
332,59,207,750,994,1.6,28,42.4
313,78,207,750,994,1.83,1,17.3
313,78,207,750,994,1.83,3,24.5
313,78,207,750,994,1.83,7,29.8
313,78,207,750,994,1.83,28,40.6
371,20,207,750,994,1.2,1,17.2
371,20,207,750,994,1.2,3,26.3
371,20,207,750,994,1.2,7,29.8
371,20,207,750,994,1.2,28,40.7
352,39,207,750,994,1.48,1,20.3
352,39,207,750,994,1.48,3,28.2
352,39,207,750,994,1.48,7,35
352,39,207,750,994,1.48,28,50.2
332,59,207,750,994,1.7,1,18
332,59,207,750,994,1.7,3,25.2
332,59,207,750,994,1.7,7,30.8
332,59,207,750,994,1.7,28,42.9
313,78,207,750,994,1.9,1,17.8
313,78,207,750,994,1.9,3,24.5
313,78,207,750,994,1.9,7,30.5
313,78,207,750,994,1.9,28,41
371,20,207,750,994,1.2,1,18.3
371,20,207,750,994,1.2,3,25.4
371,20,207,750,994,1.2,7,31.1
371,20,207,750,994,1.2,28,42.2
352,39,207,750,994,1.6,1,19.9
352,39,207,750,994,1.6,3,29.6
352,39,207,750,994,1.6,7,36.7
352,39,207,750,994,1.6,28,51.8
332,59,207,750,994,1.78,1,19.3
332,59,207,750,994,1.78,3,26.1
332,59,207,750,994,1.78,7,32.7
332,59,207,750,994,1.78,28,44.4
313,78,207,750,994,2,1,18.1
313,78,207,750,994,2,3,25.2
313,78,207,750,994,2,7,32.1
313,78,207,750,994,2,28,41.7
391,0,207,750,994,0.63,1,19.1
391,0,207,750,994,0.63,3,26.7
391,0,207,750,994,0.63,7,30.2
391,0,207,750,994,0.63,28,39.6
371,20,207,750,994,1.12,1,17.9
371,20,207,750,994,1.12,3,25.3
371,20,207,750,994,1.12,7,30
371,20,207,750,994,1.12,28,40.2
352,39,207,750,994,1.35,1,19.4
352,39,207,750,994,1.35,3,28.1
352,39,207,750,994,1.35,7,34.3
352,39,207,750,994,1.35,28,48.4
332,59,207,750,994,1.6,1,18.2
332,59,207,750,994,1.6,3,25.1
332,59,207,750,994,1.6,7,31.3
332,59,207,750,994,1.6,28,42.4
313,78,207,750,994,1.83,1,17.3
313,78,207,750,994,1.83,3,24.5
313,78,207,750,994,1.83,7,29.8
313,78,207,750,994,1.83,28,40.6
371,20,207,750,994,1.2,1,17.2
371,20,207,750,994,1.2,3,26.3
371,20,207,750,994,1.2,7,29.8
371,20,207,750,994,1.2,28,40.7
352,39,207,750,994,1.48,1,20.3
352,39,207,750,994,1.48,3,28.2
352,39,207,750,994,1.48,7,35
352,39,207,750,994,1.48,28,50.2
332,59,207,750,994,1.7,1,18
332,59,207,750,994,1.7,3,25.2
332,59,207,750,994,1.7,7,30.8
332,59,207,750,994,1.7,28,42.9
313,78,207,750,994,1.9,1,17.8
313,78,207,750,994,1.9,3,24.5
313,78,207,750,994,1.9,7,30.5
313,78,207,750,994,1.9,28,41
371,20,207,750,994,1.2,1,18.3
371,20,207,750,994,1.2,3,25.4
371,20,207,750,994,1.2,7,31.1
371,20,207,750,994,1.2,28,42.2
352,39,207,750,994,1.6,1,19.9
352,39,207,750,994,1.6,3,29.6
352,39,207,750,994,1.6,7,36.7
352,39,207,750,994,1.6,28,51.8
332,59,207,750,994,1.78,1,19.3
332,59,207,750,994,1.78,3,26.1
332,59,207,750,994,1.78,7,32.7
332,59,207,750,994,1.78,28,44.4
313,78,207,750,994,2,1,18.1
313,78,207,750,994,2,3,25.2
313,78,207,750,994,2,7,32.1
313,78,207,750,994,2,28,41.7
400,171,215,557,933,0.65,1,19.38
400,171,215,557,933,0.65,3,32.64
400,171,215,557,933,0.65,7,43.86
400,171,215,557,933,0.65,14,52.02
400,171,215,557,933,0.65,28,55.08
400,171,215,557,933,0.65,56,61.2
400,171,215,557,933,0.65,91,65.28
383,42,221,737,933,0.07,1,16.32
383,42,221,737,933,0.07,3,26.52
383,42,221,737,933,0.07,7,37.74
383,42,221,737,933,0.07,14,40.8
383,42,221,737,933,0.07,28,47.94
383,42,221,737,933,0.07,56,52.02
383,42,221,737,933,0.07,91,57.12
783,87,212,344,933,0.41,1,41.82
783,87,212,344,933,0.41,3,60.18
783,87,212,344,933,0.41,7,63.24
783,87,212,344,933,0.41,14,64.26
783,87,212,344,933,0.41,28,67.32
783,87,212,344,933,0.41,56,70.38
783,87,212,344,933,0.41,91,75.48
571,0,219,633,933,0.18,1,30.6
571,0,219,633,933,0.18,3,46.92
571,0,219,633,933,0.18,7,51
571,0,219,633,933,0.18,14,55.08
571,0,219,633,933,0.18,28,57.12
571,0,219,633,933,0.18,56,61.2
571,0,219,633,933,0.18,91,68.34
514,57,218,608,933,0.25,1,27.54
514,57,218,608,933,0.25,3,41.82
514,57,218,608,933,0.25,7,47.94
514,57,218,608,933,0.25,14,53.04
514,57,218,608,933,0.25,28,62.22
514,57,218,608,933,0.25,56,63.24
514,57,218,608,933,0.25,91,68.34
457,114,216,582,933,0.46,1,26.52
457,114,216,582,933,0.46,3,38.76
457,114,216,582,933,0.46,7,47.94
457,114,216,582,933,0.46,14,53.04
457,114,216,582,933,0.46,28,61.2
457,114,216,582,933,0.46,56,62.22
457,114,216,582,933,0.46,91,70.38
396,0,210,844,951,0,28,35.4
376,20,210,844,951,0.95,28,33.6
356,40,210,844,951,0.98,28,32.4
337,60,210,844,951,1.03,28,32.1
317,79,210,844,951,1.07,28,30.8
297,99,210,844,951,1.11,28,29.7
277,119,210,844,951,1.15,28,26.6
390,0,156,713,1079,0.5,7,37.2
390,0,156,713,1079,0.5,28,53.12
370.5,19.5,156,713,1079,0.5,7,38.8
370.5,19.5,156,713,1079,0.5,28,54.31
351,39,156,713,1079,1,7,36.8
351,39,156,713,1079,1,28,52.37
331.5,58.5,156,713,1079,1,7,34.81
331.5,58.5,156,713,1079,1,28,45.35
312,78,156,713,1079,1,7,33.82
312,78,156,713,1079,1,28,37.8
348.36,0,191.6,572.74,1189.5,0,28,30.21
330.94,17.42,191.6,572.74,1189.5,0,28,27.75
313.52,34.83,191.6,572.74,1189.5,0,28,32.79
296.11,52.2,191.6,572.74,1189.5,0,28,19.69
278.7,69.6,191.6,572.74,1189.5,0,28,17.94
461.25,0,184.5,582,1204,0,7,24.28
461.25,0,184.5,582,1204,0,14,29.17
461.25,0,184.5,582,1204,0,28,36.31
369,0,184.5,608.13,1253.45,0,7,21.73
369,0,184.5,608.13,1253.45,0,14,26.83
369,0,184.5,608.13,1253.45,0,28,32.33
307.5,0,184.5,623.79,1287.9,0,7,19.77
307.5,0,184.5,623.79,1287.9,0,14,23.46
307.5,0,184.5,623.79,1287.9,0,28,29.99
415.12,46.13,184.5,582,1204,0,7,23.66
415.12,46.13,184.5,582,1204,0,14,27.95
415.12,46.13,184.5,582,1204,0,28,35.7
332.1,36.9,184.5,608.13,1253.45,0,7,21.32
332.1,36.9,184.5,608.13,1253.45,0,14,26.21
332.1,36.9,184.5,608.13,1253.45,0,28,31.52
276.7,30.8,184.5,623.79,1287.9,0,7,19.28
276.7,30.8,184.5,623.79,1287.9,0,14,22.85
276.7,30.8,184.5,623.79,1287.9,0,28,29.38
392.06,69.19,184.5,582,1204,0,7,21.42
392.06,69.19,184.5,582,1204,0,14,26.52
392.06,69.19,184.5,582,1204,0,28,31.62
313.75,55.35,184.5,608.13,1253.45,0,7,17.85
313.75,55.35,184.5,608.13,1253.45,0,14,23.46
313.75,55.35,184.5,608.13,1253.45,0,28,29.17
261.37,46.13,184.5,623.79,1287.9,0,7,16.63
261.37,46.13,184.5,623.79,1287.9,0,14,20.6
261.37,46.13,184.5,623.79,1287.9,0,28,26.52
300,0,138,660,1290,0.8,7,19.86
300,0,138,660,1290,0.8,14,27.08
300,0,138,660,1290,0.8,28,29.8
285,15,138,660,1290,0.8,7,20.33
285,15,138,660,1290,0.8,14,27.72
285,15,138,660,1290,0.8,28,30.5
270,30,138,660,1290,0.8,7,20.73
270,30,138,660,1290,0.8,14,28.27
270,30,138,660,1290,0.8,28,31.1
255,45,138,660,1290,0.8,7,21.06
255,45,138,660,1290,0.8,14,28.72
255,45,138,660,1290,0.8,28,31.88
240,60,138,660,1290,0.8,7,19.95
240,60,138,660,1290,0.8,14,27.21
240,60,138,660,1290,0.8,28,29.93
